num_customers,solver,instances,mean_distance,std_distance,mean_runtime,max_runtime,feasibility_rate,mean_gap,max_gap
5,Brute Force,5,51.72146859328907,9.235486467934662,0.0003957916109357029,0.0004296660190448165,1.0,0.0,0.0
5,OR-Tools,5,51.72146859328907,9.23548646793466,1.0007221165986266,1.0017150420171674,1.0,0.0,0.0
6,Brute Force,5,68.01404752704548,16.471401361741627,0.0017512500111479313,0.0025087080139201134,1.0,0.0,0.0
6,OR-Tools,5,68.01404752704548,16.471401361741627,1.0004569833865389,1.0005435000057332,1.0,0.0,0.0
7,Brute Force,5,67.60175903627616,20.833677924978083,0.013466566801071167,0.02024587499909103,1.0,0.0,0.0
7,OR-Tools,5,67.60175903627616,20.833677924978083,1.000440774805611,1.0005238330049906,1.0,0.0,0.0
8,Brute Force,5,82.74963781619773,10.831340169788907,0.08682665840024129,0.13435325000318699,1.0,0.0,0.0
8,OR-Tools,5,82.74963781619773,10.831340169788907,1.000552800000878,1.0006202079821378,1.0,0.0,0.0
9,Brute Force,5,90.39988629527595,8.086683548875962,0.653568066394655,1.1343775409914088,1.0,0.0,0.0
9,OR-Tools,5,90.39988629527595,8.086683548875959,1.0006287919939496,1.0007339169969782,1.0,0.0,0.0
10,OR-Tools,5,95.21513724199818,6.973950007725074,1.0004763417935465,1.0005769170238636,1.0,,
20,OR-Tools,5,157.39736566154096,21.08530026219626,1.000542499794392,1.0006005409813952,1.0,,
50,OR-Tools,5,340.11572972543956,29.069298565328552,1.000684316805564,1.0007546670094598,1.0,,
