num_customers,old_budget,new_budget,paired_instances,mean_incumbent_improvement_percent,incumbent_ci_lower,incumbent_ci_upper,mean_bound_improvement_percent,bound_ci_lower,bound_ci_upper,mean_gap_reduction_pp,gap_ci_lower,gap_ci_upper,wins,ties,losses
10,0.05,0.1,10,1.692957284321809,0.8225335485279593,2.5736245904629613,7.567120782093066,4.6605194169688,10.58166191950816,7.017895312895417,4.609412804817475,9.195312635871032,7,3,0
10,0.1,0.5,10,0.055096173993477646,0.0,0.16528852198043292,18.064607257958,10.94748210664381,25.733447319370114,14.483745980639933,9.268886403986645,19.834145116714627,1,9,0
10,0.5,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
10,0.05,1.0,10,1.7459112226349323,0.8263306783717598,2.7002546197265707,27.15765684398844,17.985072267161502,37.066965642815646,21.50164129353535,15.076407624565187,27.737915018302086,7,3,0
15,0.05,0.1,10,12.30812226828454,6.650763456715838,18.358253815784124,10.91008788349778,5.28780854263883,18.069964797840036,12.96952643523868,7.928587262811637,18.71846397918001,10,0,0
15,0.1,0.5,10,8.937275900449597,5.6073722096922936,12.43797853806242,2.7529567134726087,1.8255957963139708,3.695358685143005,8.595945956255232,5.648188503325489,11.55589142990132,10,0,0
15,0.5,1.0,10,2.0591065569350286,0.8230439561774813,3.49240986194015,1.667400895295458,0.5139705729516295,3.422955539996597,2.619166651501179,1.3960454498872106,3.886327138226085,7,3,0
15,0.05,1.0,10,21.67699193340217,15.90431625023004,28.539190498106535,15.876397346856459,9.469027655504425,23.745046103609745,24.18463904299509,17.682070190368698,31.491569814719554,10,0,0
20,0.05,0.1,10,7.544381797616133,2.285967246834904,14.071662150501306,16.561381196482426,12.043251009096284,21.506447189465284,10.951217787542438,7.862788577931024,14.18141491967443,7,3,0
20,0.1,0.5,10,14.168074911989976,8.812293331515395,20.346007872440126,2.231895748099705,1.328730500902096,3.4039256151082,10.162901893511648,6.763744510511324,14.021989772778264,10,0,0
20,0.5,1.0,10,3.0425283184536847,1.1230650161031575,5.141276465084659,0.9387394272543471,0.4096232381195956,1.533826642799843,2.591184581189766,1.3596707865162165,3.934218570393356,7,3,0
20,0.05,1.0,10,23.22064934826385,16.357822514592193,30.127615572325492,20.269526154608958,15.3642011298449,25.175696903082123,23.705304262243857,19.986543878245055,27.450352483225927,10,0,0
