num_customers,comparison,instances,mean_improvement_percent,median_improvement_percent,min_improvement_percent,max_improvement_percent,ci_95_lower,ci_95_upper,wins,ties,losses
20,3s_vs_1s,30,0.09589665044343486,0.0,0.0,1.049158569470507,0.010897685910424313,0.2027787859326777,4,26,0
50,3s_vs_1s,30,0.9156164483374514,0.4823691940605256,0.0,4.845112178745512,0.5396096828420431,1.3495457273571918,24,6,0
20,5s_vs_3s,30,0.04642065828118249,0.0,0.0,1.3926197484354748,0.0,0.13926197484354746,1,29,0
50,5s_vs_3s,30,0.6278050554754072,0.033822907156435204,0.0,5.122375320985209,0.2574643714379416,1.0833412644387395,15,15,0
20,5s_vs_1s,30,0.1420744069214857,0.0,0.0,1.908594992046023,0.010897685910424313,0.3145630657982117,4,26,0
50,5s_vs_1s,30,1.5389306051825893,1.032997980097824,0.0,5.633299687661466,1.0201479414930876,2.1159866859174574,27,3,0
