metric,mean,ci_lower,ci_upper
ML improvement vs distance (%),22.28892081182025,19.600712406797637,24.97207455822988
ML improvement vs free flow (%),1.287506718569001,0.9688868780038704,1.6055309636407438
Distance regret vs oracle (%),30.39873166109065,25.934048062762642,34.98838819658944
Free-flow regret vs oracle (%),1.5217449498843825,1.1567539299680623,1.8847473795056169
ML regret vs oracle (%),0.1742387104052169,0.10530019521589012,0.24860668381550446
ML regret reduction vs free flow (pp),1.3475062394791655,1.0114846097563188,1.6803932952678222
