num_customers,num_vehicles,vehicle_capacity,brute_force_distance,brute_force_time,ortools_distance,ortools_time
5,2,15,49.873220791174596,0.0003699589869938791,49.873220791174596,1.0013655000075232
6,2,15,58.99975339576638,0.002461625001160428,58.99975339576639,1.0006064579938538
7,2,15,59.24239408288567,0.01921137500903569,59.242394082885674,1.000526916992385
8,2,15,68.9422429084317,0.08288554099272005,68.9422429084317,1.0006842919974588
9,2,15,81.94030708160662,0.4122663750022184,81.94030708160662,1.0005369170103222
10,2,15,,,83.28385485565633,1.0006225830002222
20,4,15,,,133.09857486392613,1.0006164579826873
50,10,15,,,332.40830467871933,1.0007696250104345
