num_customers,time_limit_seconds,instances,feasible_rate,optimal_rate,mean_distance,mean_runtime,mean_mip_gap_percent,median_mip_gap_percent,max_mip_gap_percent,mean_node_count
10,0.01,10,1.0,0.0,111.09839554156619,0.013984733307734133,40.470178828345304,42.0357148711488,52.99675171209526,1.0
10,0.05,10,1.0,0.1,97.05106783634159,0.053108662395970896,21.50164129353535,22.38224347098184,39.74597125949275,1.7
10,0.1,10,1.0,0.1,95.3632181635278,0.09869497089530341,14.483745980639934,14.443786247091488,28.32086891496701,1113.3
10,0.5,10,1.0,1.0,95.3107021408741,0.17683518750709482,0.0,0.0,0.0,3444.0
10,1.0,10,1.0,1.0,95.3107021408741,0.17624100830289535,0.0,0.0,0.0,3444.0
15,0.01,10,0.0,0.0,,0.01886280010221526,,,,
15,0.05,10,1.0,0.0,166.33958120821666,0.05952700420748443,48.472238854572794,48.49282226442793,66.81881536314879,1.0
15,0.1,10,1.0,0.0,143.46392192151788,0.11075760000385344,35.50271241933412,35.54841627951161,45.395761278801864,1.0
15,0.5,10,1.0,0.0,130.45872291757473,0.510522195888916,26.906766463078885,26.02454820771554,43.75508857349474,2498.4
15,1.0,10,1.0,0.0,127.85193416775076,1.014756195800146,24.287599811577703,21.875660414079185,40.330669020583365,2941.0
20,0.01,10,0.0,0.0,,0.031021912395954133,,,,
20,0.05,10,1.0,0.0,220.0744395517876,0.07601766691077501,58.20776344856601,59.6504741006624,67.46084928326256,1.0
20,0.1,10,1.0,0.0,200.03440196623893,0.12457768749445677,47.25654566102358,47.34565855327051,57.24882066226152,1.0
20,0.5,10,1.0,0.0,170.13901248075786,0.522419729095418,37.09364376751193,36.28886815518959,47.10359425465617,583.8
20,1.0,10,1.0,0.0,164.80271414668385,1.0236390788049903,34.50245918632216,34.64372139634649,45.70923479463083,1853.7
