time_limit,instances,mean_distance,std_distance,mean_runtime,valid_rate
1,3,333.18631550072064,20.26406571296954,1.0010839439928532,1.0
3,3,332.31545421106154,20.904324971554395,3.000812958664028,1.0
5,3,327.37766028690766,24.466793226663878,5.0007884166552685,1.0
