num_customers,num_vehicles,seed,distance,runtime,valid
10,2,0,96.51953507299278,1.0014402919914573,True
10,2,1,99.00916198709595,1.000505834002979,True
10,2,2,96.43048988846829,1.0004398750024848,True
10,2,3,100.91936910111319,1.0006198750052135,True
10,2,4,83.19713016032063,1.000494832987897,True
20,4,0,143.22714924644802,1.0006417500262614,True
20,4,1,173.2986774243432,1.0005828749854118,True
20,4,2,145.03679445042957,1.000558459025342,True
20,4,3,186.32815957565805,1.000569625000935,True
20,4,4,139.09604761082608,1.0006030419899616,True
50,10,0,318.78889791382204,1.000831957993796,True
50,10,1,356.359007339763,1.0006995419971645,True
50,10,2,324.41104124857685,1.000694874994224,True
50,10,3,383.66634286011873,1.0007001250050962,True
50,10,4,317.35335926491734,1.000701167009538,True
