mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.782142734527588,0.027954267557282635,0.009434270858764648,0.0009394755690521883,1.0,350,10,8,4,0.03,"{'model__subsample': 1.0, 'model__n_estimators': 350, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_depth': 4, 'model__learning_rate': 0.03}",-2.108078222192522,-2.054502923693692,-2.0760255024116274,-2.122987636424508,-2.1217800691178312,-2.0966748707680365,0.027046399309132503,3
2.224862003326416,0.020294982975198418,0.010970830917358398,0.0015622049800883056,0.85,500,10,8,4,0.05,"{'model__subsample': 0.85, 'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_depth': 4, 'model__learning_rate': 0.05}",-2.079607941578778,-2.0791734074295265,-2.062765969429446,-2.1289863583903523,-2.1242113910272624,-2.0949490135710733,0.026588697395558632,2
0.6063241958618164,0.015237741260390961,0.0053235054016113285,0.0013722088858374362,1.0,150,5,8,3,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_depth': 3, 'model__learning_rate': 0.05}",-2.2448434805011552,-2.184593230590646,-2.3076763075333377,-2.3307925468329564,-2.253514822414353,-2.26428407757449,0.0512850989434167,14
0.7518229961395264,0.01272066213814758,0.006613588333129883,0.002570828433793191,0.7,250,5,4,3,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 250, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 3, 'model__learning_rate': 0.05}",-2.1150989002936997,-2.0809965615489507,-2.1306307751209146,-2.167823735254461,-2.1382204846588113,-2.1265540913753678,0.028504797894792298,12
1.3269035816192627,0.01868760798549182,0.0075381755828857425,0.000123930940627978,0.7,350,5,2,4,0.08,"{'model__subsample': 0.7, 'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 4, 'model__learning_rate': 0.08}",-2.097745325132113,-2.097158267393873,-2.0570347320359867,-2.1621238714773985,-2.1270809214673188,-2.1082286235013377,0.03496676635152189,7
1.2559687137603759,0.018746808148917403,0.006780481338500977,0.0014612051372767116,0.85,500,10,1,2,0.03,"{'model__subsample': 0.85, 'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': 2, 'model__learning_rate': 0.03}",-2.4891267467962646,-2.5014962204751576,-2.5565155044931758,-2.584113091912188,-2.504429740222224,-2.527136260779802,0.03668029482700069,17
0.7709444522857666,0.04352866035639083,0.006280517578125,0.0012806621483739647,1.0,150,5,4,4,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 4, 'model__learning_rate': 0.05}",-2.152019147712085,-2.065573343489532,-2.1033462648329238,-2.1571260960794545,-2.1533481378759287,-2.1262825979979847,0.03621580808432504,11
1.3430073738098145,0.052807216451998325,0.00869302749633789,6.406878175126502e-05,0.7,350,2,2,4,0.02,"{'model__subsample': 0.7, 'model__n_estimators': 350, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': 4, 'model__learning_rate': 0.02}",-2.126298496425227,-2.049242534998085,-2.094367289839187,-2.137489307083567,-2.1411541476549663,-2.109710355200206,0.03443055508017814,8
1.0532840251922608,0.03806468193570595,0.006898832321166992,0.0013250638976645074,0.7,350,2,2,3,0.08,"{'model__subsample': 0.7, 'model__n_estimators': 350, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': 3, 'model__learning_rate': 0.08}",-2.096402399985785,-2.090906520618079,-2.105670050889361,-2.1411723702655734,-2.143315076345695,-2.1154932836208986,0.022355913291791416,9
2.5457242012023924,0.01843080352111768,0.010981369018554687,0.003918726977260041,1.0,500,2,8,4,0.1,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_depth': 4, 'model__learning_rate': 0.1}",-2.127232769730217,-2.1277049988577788,-2.150544170193111,-2.1650767114818406,-2.1736506398148565,-2.148841858015561,0.01895079681578677,13
