instance,num_customers,num_vehicles,solver,status,feasible,distance,runtime_seconds,optimality_gap_percent
cvrp_n8_seed4,8,2,Brute Force,OPTIMAL,True,79.90017684127417,0.10614008401171304,0.0
cvrp_n8_seed4,8,2,Clarke-Wright,FEASIBLE,True,79.90017684127417,4.587500006891787e-05,0.0
cvrp_n8_seed4,8,2,OR-Tools,FEASIBLE,True,79.90017684127417,1.000637082994217,0.0
cvrp_n9_seed0,9,2,Brute Force,OPTIMAL,True,95.64929620457653,0.6220026669907384,0.0
cvrp_n9_seed0,9,2,Clarke-Wright,FEASIBLE,True,97.99399296167648,4.499999340623617e-05,2.451347631544587
cvrp_n9_seed0,9,2,OR-Tools,FEASIBLE,True,95.64929620457653,1.000619165977696,0.0
cvrp_n9_seed1,9,2,Brute Force,OPTIMAL,True,86.15900238451634,1.1445548329793382,0.0
cvrp_n9_seed1,9,2,Clarke-Wright,FEASIBLE,True,86.15900238451636,4.449998959898949e-05,0.0
cvrp_n9_seed1,9,2,OR-Tools,FEASIBLE,True,86.15900238451636,1.0005942920106463,0.0
cvrp_n9_seed2,9,2,Brute Force,OPTIMAL,True,93.53009815347812,0.18512545901467092,0.0
cvrp_n9_seed2,9,2,Clarke-Wright,FEASIBLE,True,93.53009815347812,5.287499516271055e-05,0.0
cvrp_n9_seed2,9,2,OR-Tools,FEASIBLE,True,93.53009815347812,1.000552792014787,0.0
cvrp_n9_seed3,9,2,Brute Force,OPTIMAL,True,98.27218726530658,0.5079987920180429,0.0
cvrp_n9_seed3,9,2,Clarke-Wright,FEASIBLE,True,98.27218726530658,3.9915990782901645e-05,0.0
cvrp_n9_seed3,9,2,OR-Tools,FEASIBLE,True,98.27218726530658,1.0005210420058575,0.0
cvrp_n9_seed4,9,2,Brute Force,OPTIMAL,True,78.38884746850219,0.8523440419812687,0.0
cvrp_n9_seed4,9,2,Clarke-Wright,FEASIBLE,True,78.38884746850219,4.737498238682747e-05,0.0
cvrp_n9_seed4,9,2,OR-Tools,FEASIBLE,True,78.38884746850219,1.0005820420046803,0.0
cvrp_n10_seed0,10,2,Clarke-Wright,FEASIBLE,True,96.51953507299278,4.437501775100827e-05,
cvrp_n10_seed0,10,2,OR-Tools,FEASIBLE,True,96.51953507299278,1.0005371670122258,
