mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4344322681427002,0.020687193244846223,0.03189535140991211,0.0023306040689630866,200,5,2,sqrt,16,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 16}",-2.822540692735953,-2.950573838976673,-2.8714412174859354,-3.0363412681219,-2.780978647080108,-2.892375132880114,0.09147414102394166,11
0.3895599365234375,0.01469393309862085,0.025075483322143554,0.0017376777571976427,200,10,4,sqrt,16,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 16}",-3.1695941653871103,-3.3109307205471104,-3.215313009091495,-3.35886274815702,-3.0374597842597284,-3.218432085488493,0.11262558625344686,14
0.42628912925720214,0.010377290643810905,0.028675270080566407,0.0020275180640256553,200,5,1,sqrt,12,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 12}",-2.881917646591496,-2.9596985312226054,-2.887633627675542,-3.0724942653252225,-2.788430102904318,-2.9180348347438367,0.09446655544290307,12
0.9496870994567871,0.01512444105082015,0.029760074615478516,0.0022450290759356522,200,10,2,1.0,16,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': 16}",-2.42357566682784,-2.409840148662315,-2.3892507633845947,-2.5070173512204215,-2.401509487492597,-2.4262386835175533,0.041906648949639004,4
0.9346203804016113,0.012547652274797412,0.023003482818603517,0.000931807969898377,200,10,2,1.0,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': None}",-2.4234733347682105,-2.4096680803474353,-2.3891536826225064,-2.506865864247437,-2.401437200919746,-2.4261196325810674,0.04188869604173404,3
1.0275758266448975,0.012594570797717615,0.030263519287109374,0.0023586642116522256,200,5,1,1.0,12,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 12}",-2.3784434057746404,-2.36533139933318,-2.34992967939514,-2.444760639875132,-2.3640208725666856,-2.3804971993889557,0.03337619501018313,1
2.8424219608306887,0.0450281976282273,0.0927649974822998,0.028370536965371066,600,2,4,1.0,16,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': 16}",-2.465613652384771,-2.4339760171486495,-2.4318697685712953,-2.5403643236928213,-2.4376005621984995,-2.461884864799207,0.04109127999137603,5
1.5660200595855713,0.017293889424555144,0.03987164497375488,0.005765762291985204,400,2,4,1.0,8,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': 8}",-2.743462777336952,-2.7664063781858332,-2.7883373198500028,-2.8925353636536957,-2.7269804098968016,-2.7835444497846575,0.05831249519997906,8
0.7782865524291992,0.023403013285696266,0.049189186096191405,0.004900361235390696,400,10,2,sqrt,16,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 16}",-3.0253836308993733,-3.1349846339719494,-3.058095472858922,-3.272540911976638,-2.9377478222507563,-3.0857504943915277,0.11280816458617017,13
0.8179407596588135,0.022782845144396366,0.05402956008911133,0.007882573603833407,400,5,1,sqrt,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 12}",-2.8708766019188645,-2.9248929584727166,-2.872908036284485,-3.029793832090484,-2.7487686844330814,-2.889448022639926,0.0909532129405834,10
0.3705094337463379,0.01065060895477579,0.026189470291137697,0.004270638958157344,200,10,4,sqrt,12,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 12}",-3.203711117902001,-3.3511594858855602,-3.2281501061124307,-3.4310859856756983,-3.070458106709761,-3.2569129604570906,0.12461284090846153,15
0.4445150852203369,0.013634716426814217,0.029932546615600585,0.0024537678194026407,200,5,1,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}",-2.742692456604734,-2.874465289307082,-2.836213773576269,-2.9745900706295454,-2.6800868410706604,-2.8216096862376583,0.10263199987198297,9
1.0598633289337158,0.04266177888310541,0.0820002555847168,0.005958733732714653,400,2,1,sqrt,16,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 16}",-2.6172161552534736,-2.735319206769524,-2.685328315115771,-2.7873458362235874,-2.5889860732548087,-2.682839117323433,0.0732076187578553,6
1.0468914031982421,0.011140308444557236,0.030716371536254884,0.0064354190252859725,200,2,2,1.0,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': None}",-2.3955288635314917,-2.3797515292705365,-2.37940189083151,-2.4661836454807426,-2.38897668760057,-2.40196852334297,0.032670129029852224,2
1.4556883335113526,0.03478952372313327,0.03415546417236328,0.0006566840029122101,400,5,2,1.0,8,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': 8}",-2.7195166334690617,-2.743444226002921,-2.7715997310159053,-2.8624526399451886,-2.7035969141138945,-2.7601220289093944,0.05608088346647585,7
