num_customers,instances,objective_matches,match_rate,bruteforce_runtime_mean,gurobi_runtime_mean,gurobi_runtime_max,gurobi_mip_gap_max,gurobi_node_count_mean,gurobi_node_count_max
5,5,5,1.0,0.00045836679637432096,0.010897783003747464,0.016038916015531868,0.0,1.0,1.0
6,5,5,1.0,0.002159099990967661,0.023869391600601374,0.051358291995711625,0.0,44.0,132.0
7,5,5,1.0,0.013804366800468416,0.03111890839645639,0.06081125000491738,0.0,62.6,309.0
8,5,5,1.0,0.08896154159447178,0.056445908406749366,0.08395299996482208,0.0,448.8,1798.0
9,5,5,1.0,0.6692909166100435,0.09275569180026651,0.16910220799036324,0.0,1197.4,2547.0
