instance,num_customers,num_vehicles,solver,status,feasible,distance,runtime_seconds,optimality_gap_percent
cvrp_n20_seed14,20,4,OR-Tools-3s,FEASIBLE,True,158.50224584019426,3.0004332500102464,
cvrp_n20_seed14,20,4,OR-Tools-5s,FEASIBLE,True,158.50224584019426,5.001001750002615,
cvrp_n20_seed15,20,4,Clarke-Wright,FEASIBLE,True,152.9402803363503,0.00011883300612680614,
cvrp_n20_seed15,20,4,OR-Tools-1s,FEASIBLE,True,143.27325566287732,1.000530917022843,
cvrp_n20_seed15,20,4,OR-Tools-3s,FEASIBLE,True,143.27325566287732,3.0006538330053445,
cvrp_n20_seed15,20,4,OR-Tools-5s,FEASIBLE,True,143.27325566287732,5.0006692910101265,
cvrp_n20_seed16,20,4,Clarke-Wright,FEASIBLE,True,177.80830077816665,0.00011970801278948784,
cvrp_n20_seed16,20,4,OR-Tools-1s,FEASIBLE,True,174.9984620607034,1.00052983299247,
cvrp_n20_seed16,20,4,OR-Tools-3s,FEASIBLE,True,173.16245069955193,3.000499124987982,
cvrp_n20_seed16,20,4,OR-Tools-5s,FEASIBLE,True,173.16245069955193,5.000782874994911,
cvrp_n20_seed17,20,4,Clarke-Wright,FEASIBLE,True,159.39919123414805,0.00013383300392888486,
cvrp_n20_seed17,20,4,OR-Tools-1s,FEASIBLE,True,155.28799275457547,1.0006031660013832,
cvrp_n20_seed17,20,4,OR-Tools-3s,FEASIBLE,True,155.28799275457547,3.0009728749864735,
cvrp_n20_seed17,20,4,OR-Tools-5s,FEASIBLE,True,155.28799275457547,5.000424375000875,
cvrp_n20_seed18,20,4,Clarke-Wright,FEASIBLE,True,146.95533562019284,0.00011345799430273473,
cvrp_n20_seed18,20,4,OR-Tools-1s,FEASIBLE,True,146.95533562019284,1.0005356250039767,
cvrp_n20_seed18,20,4,OR-Tools-3s,FEASIBLE,True,146.95533562019284,3.0006112919945735,
cvrp_n20_seed18,20,4,OR-Tools-5s,FEASIBLE,True,146.95533562019284,5.000754166016122,
cvrp_n20_seed19,20,4,Clarke-Wright,FEASIBLE,True,164.82987420056287,0.00011795901809819043,
cvrp_n20_seed19,20,4,OR-Tools-1s,FEASIBLE,True,160.04218778382125,1.0005966660100967,
cvrp_n20_seed19,20,4,OR-Tools-3s,FEASIBLE,True,160.04218778382125,3.0008184999751393,
cvrp_n20_seed19,20,4,OR-Tools-5s,FEASIBLE,True,160.04218778382125,5.000582667009439,
cvrp_n20_seed20,20,4,Clarke-Wright,FEASIBLE,True,140.82812782155403,0.00011433300096541643,
cvrp_n20_seed20,20,4,OR-Tools-1s,FEASIBLE,True,137.95098420997442,1.0007407090160996,
cvrp_n20_seed20,20,4,OR-Tools-3s,FEASIBLE,True,137.95098420997442,3.000767999998061,
cvrp_n20_seed20,20,4,OR-Tools-5s,FEASIBLE,True,137.95098420997442,5.000571749988012,
cvrp_n20_seed21,20,4,Clarke-Wright,FEASIBLE,True,159.77964734687387,0.00013354100519791245,
cvrp_n20_seed21,20,4,OR-Tools-1s,FEASIBLE,True,154.33589368255357,1.000522042013472,
cvrp_n20_seed21,20,4,OR-Tools-3s,FEASIBLE,True,154.33589368255357,3.000490667007398,
cvrp_n20_seed21,20,4,OR-Tools-5s,FEASIBLE,True,154.33589368255357,5.000550208002096,
cvrp_n20_seed22,20,4,Clarke-Wright,FEASIBLE,True,185.2979038737208,0.0001134169870056212,
cvrp_n20_seed22,20,4,OR-Tools-1s,FEASIBLE,True,179.88973926635248,1.000524041999597,
cvrp_n20_seed22,20,4,OR-Tools-3s,FEASIBLE,True,178.94844408333273,3.0006112919945735,
cvrp_n20_seed22,20,4,OR-Tools-5s,FEASIBLE,True,176.45637271151023,5.000603666994721,
cvrp_n20_seed23,20,4,Clarke-Wright,FEASIBLE,True,151.4595249936742,0.0001358330191578716,
cvrp_n20_seed23,20,4,OR-Tools-1s,FEASIBLE,True,140.24645075778068,1.0004922079970129,
cvrp_n20_seed23,20,4,OR-Tools-3s,FEASIBLE,True,140.24645075778068,3.0004829580138903,
cvrp_n20_seed23,20,4,OR-Tools-5s,FEASIBLE,True,140.24645075778068,5.000586832989939,
cvrp_n20_seed24,20,4,Clarke-Wright,FEASIBLE,True,139.0056728759637,0.00011441699462011456,
cvrp_n20_seed24,20,4,OR-Tools-1s,FEASIBLE,True,138.38517001297902,1.0005431250028778,
cvrp_n20_seed24,20,4,OR-Tools-3s,FEASIBLE,True,138.38517001297902,3.0004185840080027,
cvrp_n20_seed24,20,4,OR-Tools-5s,FEASIBLE,True,138.38517001297902,5.000701667013345,
cvrp_n20_seed25,20,4,Clarke-Wright,FEASIBLE,True,186.23319467823416,0.00011687501682899892,
cvrp_n20_seed25,20,4,OR-Tools-1s,FEASIBLE,True,178.32725300118133,1.0004799159942195,
cvrp_n20_seed25,20,4,OR-Tools-3s,FEASIBLE,True,178.32725300118133,3.000532458012458,
cvrp_n20_seed25,20,4,OR-Tools-5s,FEASIBLE,True,178.32725300118133,5.000601207982982,
cvrp_n20_seed26,20,4,Clarke-Wright,FEASIBLE,True,158.60279596047053,0.0001374160056002438,
cvrp_n20_seed26,20,4,OR-Tools-1s,FEASIBLE,True,158.60279596047053,1.0004671659844462,
cvrp_n20_seed26,20,4,OR-Tools-3s,FEASIBLE,True,158.60279596047053,3.0004757500137202,
cvrp_n20_seed26,20,4,OR-Tools-5s,FEASIBLE,True,158.60279596047053,5.000539833999937,
cvrp_n20_seed27,20,4,Clarke-Wright,FEASIBLE,True,190.1752637465777,0.00012604202493093908,
cvrp_n20_seed27,20,4,OR-Tools-1s,FEASIBLE,True,177.57007734204,1.0006440000142902,
cvrp_n20_seed27,20,4,OR-Tools-3s,FEASIBLE,True,177.57007734204,3.0004353339900263,
cvrp_n20_seed27,20,4,OR-Tools-5s,FEASIBLE,True,177.57007734204,5.000483791023726,
cvrp_n20_seed28,20,4,Clarke-Wright,FEASIBLE,True,160.12128415814175,0.0001105000264942646,
cvrp_n20_seed28,20,4,OR-Tools-1s,FEASIBLE,True,151.92459393475795,1.00047920900397,
cvrp_n20_seed28,20,4,OR-Tools-3s,FEASIBLE,True,151.92459393475795,3.000468708021799,
cvrp_n20_seed28,20,4,OR-Tools-5s,FEASIBLE,True,151.92459393475795,5.000972334004473,
cvrp_n20_seed29,20,4,Clarke-Wright,FEASIBLE,True,186.5074116352143,0.0001312500098720193,
cvrp_n20_seed29,20,4,OR-Tools-1s,FEASIBLE,True,181.0348867757133,1.000438999995822,
cvrp_n20_seed29,20,4,OR-Tools-3s,FEASIBLE,True,181.0348867757133,3.000449707993539,
cvrp_n20_seed29,20,4,OR-Tools-5s,FEASIBLE,True,181.0348867757133,4.994501833978575,
cvrp_n50_seed0,50,10,Clarke-Wright,FEASIBLE,True,309.7824765958829,0.0007023750222288072,
cvrp_n50_seed0,50,10,OR-Tools-1s,FEASIBLE,True,318.78889791382204,0.9995366660004947,
cvrp_n50_seed0,50,10,OR-Tools-3s,FEASIBLE,True,318.4439567956537,2.9973092500003986,
cvrp_n50_seed0,50,10,OR-Tools-5s,FEASIBLE,True,311.77090674659746,4.996348916989518,
cvrp_n50_seed1,50,10,Clarke-Wright,FEASIBLE,True,363.4522687832546,0.0005745000089518726,
cvrp_n50_seed1,50,10,OR-Tools-1s,FEASIBLE,True,356.359007339763,1.0000287079892587,
cvrp_n50_seed1,50,10,OR-Tools-3s,FEASIBLE,True,356.359007339763,2.9987623750057537,
cvrp_n50_seed1,50,10,OR-Tools-5s,FEASIBLE,True,355.5757889247697,4.998336874996312,
cvrp_n50_seed2,50,10,Clarke-Wright,FEASIBLE,True,326.2442252983409,0.0006098340090829879,
cvrp_n50_seed2,50,10,OR-Tools-1s,FEASIBLE,True,324.41104124857685,1.000426333019277,
cvrp_n50_seed2,50,10,OR-Tools-3s,FEASIBLE,True,322.143398497768,2.9995671669894364,
cvrp_n50_seed2,50,10,OR-Tools-5s,FEASIBLE,True,314.7862851893558,4.999392208002973,
cvrp_n50_seed3,50,10,Clarke-Wright,FEASIBLE,True,398.33908211077335,0.0005835420161020011,
cvrp_n50_seed3,50,10,OR-Tools-1s,FEASIBLE,True,383.66634286011873,1.000491457991302,
