num_customers,solver,instances,mean_distance,std_distance,mean_runtime,max_runtime,feasibility_rate,mean_gap,max_gap
5,Brute Force,5,51.72146859328907,9.235486467934662,0.000422999809961766,0.0005066250159870833,1.0,0.0,0.0
5,Clarke-Wright,5,51.72146859328907,9.235486467934665,2.0491605391725896e-05,2.7457979740574956e-05,1.0,0.0,0.0
5,OR-Tools,5,51.72146859328907,9.23548646793466,1.0010297664033714,1.0033142500033136,1.0,0.0,0.0
6,Brute Force,5,68.01404752704548,16.471401361741627,0.0017736334004439414,0.0025863750197459012,1.0,0.0,0.0
6,Clarke-Wright,5,68.05960294146618,16.43109953003141,2.373320166952908e-05,2.7250003768131137e-05,1.0,0.08094466300666582,0.4047233150333291
6,OR-Tools,5,68.01404752704548,16.471401361741627,1.0004968166002073,1.0006253749888856,1.0,0.0,0.0
7,Brute Force,5,67.60175903627616,20.833677924978083,0.013545208598952741,0.020690375007689,1.0,0.0,0.0
7,Clarke-Wright,5,67.60175903627616,20.833677924978083,2.6241398882120847e-05,2.8791982913389802e-05,1.0,0.0,0.0
7,OR-Tools,5,67.60175903627616,20.833677924978083,1.0004797252069693,1.0005380000220612,1.0,0.0,0.0
8,Brute Force,5,82.74963781619773,10.831340169788907,0.0866227004036773,0.13094908400671557,1.0,0.0,0.0
8,Clarke-Wright,5,82.74963781619773,10.831340169788907,3.710819873958826e-05,4.587500006891787e-05,1.0,0.0,0.0
8,OR-Tools,5,82.74963781619773,10.831340169788907,1.0005480250052643,1.000637082994217,1.0,0.0,0.0
9,Brute Force,5,90.39988629527595,8.086683548875962,0.6624051585968118,1.1445548329793382,1.0,0.0,0.0
9,Clarke-Wright,5,90.86882564669595,8.523385981622841,4.593319026753306e-05,5.287499516271055e-05,1.0,0.4902695263089174,2.451347631544587
9,OR-Tools,5,90.39988629527595,8.086683548875959,1.0005738668027333,1.000619165977696,1.0,0.0,0.0
10,Clarke-Wright,5,97.0174623175223,8.872905837210284,4.063340020366013e-05,4.6582979848608375e-05,1.0,,
10,OR-Tools,5,95.21513724199818,6.973950007725074,1.0004373333998955,1.0005371670122258,1.0,,
20,Clarke-Wright,5,159.2151918389554,22.605551714070454,0.00011355839669704437,0.00012137502199038863,1.0,,
20,OR-Tools,5,157.39736566154096,21.08530026219626,1.0004621000087355,1.000517333013704,1.0,,
50,Clarke-Wright,5,342.89364229641944,37.27977578813745,0.0005785750050563365,0.0006100409955251962,1.0,,
50,OR-Tools,5,340.11572972543956,29.069298565328552,1.0007162417983637,1.0008626249909867,1.0,,
