instance,num_customers,seed,num_vehicles,time_limit_seconds,status,feasible,distance,runtime_seconds,best_bound,mip_gap_percent,node_count,solution_count,gurobi_status
cvrp_n10_seed0,10,0,2,0.01,FEASIBLE,True,97.51141366741655,0.01476687501417473,72.14475053127371,26.014045107233542,1.0,1,9
cvrp_n10_seed0,10,0,2,0.05,FEASIBLE,True,96.51953507299275,0.053290790994651616,83.41045147243902,13.581793147511545,1.0,3,9
cvrp_n10_seed0,10,0,2,0.1,FEASIBLE,True,96.51953507299275,0.10389399999985471,89.683035739739,7.0830214091724155,1761.0,3,9
cvrp_n10_seed0,10,0,2,0.5,OPTIMAL,True,96.51953507299275,0.11612437496660277,96.51953507299275,0.0,2799.0,3,2
cvrp_n10_seed0,10,0,2,1.0,OPTIMAL,True,96.51953507299275,0.11380870797438547,96.51953507299275,0.0,2799.0,3,2
cvrp_n10_seed1,10,1,2,0.01,FEASIBLE,True,108.59708593774903,0.014097540988586843,67.89677342214404,37.47827316373441,1.0,3,9
cvrp_n10_seed1,10,1,2,0.05,FEASIBLE,True,100.75846405251671,0.05307333299424499,86.63727936234116,14.014886811707845,1.0,6,9
cvrp_n10_seed1,10,1,2,0.1,FEASIBLE,True,99.00916198709595,0.10331904102349654,94.10166013289427,4.956613868564292,1473.0,7,9
cvrp_n10_seed1,10,1,2,0.5,OPTIMAL,True,99.00916198709595,0.11849508300656453,99.00916198709595,0.0,1651.0,7,2
cvrp_n10_seed1,10,1,2,1.0,OPTIMAL,True,99.00916198709595,0.1225666250102222,99.00916198709595,0.0,1651.0,7,2
cvrp_n10_seed2,10,2,2,0.01,FEASIBLE,True,103.94192850068016,0.01346270804060623,57.08964712260102,45.07543977094148,1.0,4,9
cvrp_n10_seed2,10,2,2,0.05,FEASIBLE,True,100.13360110200104,0.05344658298417926,60.33452878690459,39.74597125949275,8.0,7,9
cvrp_n10_seed2,10,2,2,0.1,FEASIBLE,True,96.43048988846829,0.10344908299157396,71.1439077508038,26.222600514537465,1616.0,9,9
cvrp_n10_seed2,10,2,2,0.5,OPTIMAL,True,96.43048988846829,0.2725364590296522,96.43048988846829,0.0,7904.0,9,2
cvrp_n10_seed2,10,2,2,1.0,OPTIMAL,True,96.43048988846829,0.27395929204067215,96.43048988846829,0.0,7904.0,9,2
cvrp_n10_seed3,10,3,2,0.01,FEASIBLE,True,127.83842637498084,0.013958833005744964,92.14236447154717,27.92279513729975,1.0,3,9
cvrp_n10_seed3,10,3,2,0.05,OPTIMAL,True,100.91936910111318,0.05287837499054149,100.91936910111318,0.0,1.0,8,2
cvrp_n10_seed3,10,3,2,0.1,OPTIMAL,True,100.91936910111318,0.05335825000656769,100.91936910111318,0.0,1.0,8,2
cvrp_n10_seed3,10,3,2,0.5,OPTIMAL,True,100.91936910111318,0.05243820801842958,100.91936910111318,0.0,1.0,8,2
cvrp_n10_seed3,10,3,2,1.0,OPTIMAL,True,100.91936910111318,0.052122749970294535,100.91936910111318,0.0,1.0,8,2
