num_customers,solver,instances,mean_distance,std_distance,mean_runtime,feasibility_rate
20,Clarke-Wright,30,162.40385487286352,17.11391152815914,0.00012017220433331,0.9666666666666667
20,OR-Tools-1s,30,157.19072801362074,15.661720067541255,1.0005810096025622,1.0
20,OR-Tools-3s,30,157.03276912855156,15.575903979796033,3.000557904266558,1.0
20,OR-Tools-5s,30,156.94970008282417,15.461216564838784,5.000435194401264,1.0
50,Clarke-Wright,30,341.9959660105687,25.05883670179155,0.0005928625032538067,1.0
50,OR-Tools-1s,30,341.4738466347442,21.651689437191497,1.0006351749655247,1.0
50,OR-Tools-3s,30,338.38726158739723,22.339539237777792,3.0004850417307654,1.0
50,OR-Tools-5s,30,336.2738632562113,22.793404613676465,5.000433091603918,1.0
