num_customers,instances,mean_improvement_percent,median_improvement_percent,std_improvement_percent,min_improvement_percent,max_improvement_percent,mean_baseline_runtime,mean_challenger_runtime,win,tie,loss,win_rate,tie_rate,loss_rate
5,5,0.0,0.0,0.0,0.0,0.0,2.0491605391725896e-05,1.0010297664033714,0,5,0,0.0,1.0,0.0
6,5,0.08061838162004695,0.0,0.18026818153844457,0.0,0.4030919081002347,2.373320166952908e-05,1.0004968166002073,1,4,0,0.2,0.8,0.0
7,5,0.0,0.0,0.0,0.0,0.0,2.6241398882120847e-05,1.0004797252069693,0,5,0,0.0,1.0,0.0
8,5,0.0,0.0,0.0,0.0,0.0,3.710819873958826e-05,1.0005480250052643,0,5,0,0.0,1.0,0.0
9,5,0.4785388749322485,0.0,1.0700454542247777,0.0,2.3926943746612426,4.593319026753306e-05,1.0005738668027333,1,4,0,0.2,0.8,0.0
10,5,1.686865003043544,0.0,3.597584260275534,0.0,8.117745701211506,4.063340020366013e-05,1.0004373333998955,2,3,0,0.4,0.6,0.0
20,5,1.0551517744042964,0.0,1.7010493003635974,-0.5119997853600505,3.1486167483570138,0.00011355839669697999,1.0004621000087355,2,2,1,0.4,0.4,0.2
50,5,0.6135215840218562,0.5619054400388693,2.465386522937124,-2.907337244155422,3.6834797060094395,0.00057857500505628,1.0007162417983637,3,0,2,0.6,0.0,0.4
